pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
TrES-5,305.221841,59.448788,tres5b,360.0,1.48224686,1.79,5171.0,Transit,13.718,2458203.197,
Kepler-1331,297.073789,41.22448,kepler1331b,365.0,0.78916165,,4508.0,Transit,15.031,2458203.225,0.037717
Kepler-1141,290.543645,47.72588,kepler1141b,365.0,2.34451194,,5791.0,Transit,12.589,2458201.3,0.05825
Kepler-755,296.860998,41.097338,kepler755c,368.0,2.85313364,,5043.0,Transit,13.999,2458202.25,0.0598
Kepler-755,296.860998,41.097338,kepler755b,368.0,1.26909037,,5043.0,Transit,13.999,2458201.255,0.065567
Kepler-235,286.079103,39.278313,kepler235c,369.0,7.824904,,4255.0,Transit,15.954,2458201.241,0.0924
Kepler-1105,281.111771,42.454931,kepler1105b,369.0,4.42157218,,4299.0,Transit,15.18,2458201.774,0.086454
Kepler-1062,283.899402,41.221607,kepler1062b,388.0,9.30412078,,4597.0,Transit,14.796,2458201.87,0.078808
HAT-P-23,306.123854,16.762152,hatp23b,393.0,1.21288287,2.07,5885.0,Transit,,2458202.248,
Kepler-1366,285.064914,41.554874,kepler1366b,395.0,2.16457097,,4070.0,Transit,15.877,2458203.03,0.0577
Kepler-1525,290.559517,49.943016,kepler1525b,396.0,2.41660118,,5748.0,Transit,12.737,2458202.783,0.0819
Kepler-1066,298.866564,46.502239,kepler1066b,399.0,1.93155984,,5762.0,Transit,13.007,2458202.06,0.067846
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458201.216,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458201.216,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458202.756,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458201.986,0.042817
Kepler-910,296.047358,42.743006,kepler910b,402.0,2.36436901,,6230.0,Transit,11.6,2458202.071,0.136883
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458202.756,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458201.986,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458201.216,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458202.756,0.042817
Kepler-1173,293.131095,45.663548,kepler1173b,402.0,0.7698536,,5252.0,Transit,13.829,2458201.986,0.042817
Kepler-1361,283.565314,46.904255,kepler1361b,404.0,3.57554956,,5131.0,Transit,13.93,2458201.731,0.10263
Kepler-975,290.54855,38.495275,kepler975b,404.0,1.97034246,,4897.0,Transit,14.438,2458202.22,0.072421
Kepler-1035,289.042225,42.882488,kepler1035b,408.0,2.71407755,,5763.0,Transit,12.987,2458201.892,0.052575
WASP-1,5.166978,31.98999,wasp1b,408.0,2.5199454,0.854,,Transit,11.79,2458201.462,
Kepler-507,297.018834,50.408981,kepler507b,410.0,3.56809693,,6113.0,Transit,11.994,2458203.327,0.135229
Kepler-969,288.372508,47.933556,kepler969c,411.0,1.6829346,,5214.0,Transit,13.733,2458202.934,0.078071
Kepler-969,288.372508,47.933556,kepler969c,411.0,1.6829346,,5214.0,Transit,13.733,2458201.251,0.078071
Kepler-969,288.372508,47.933556,kepler969c,411.0,1.6829346,,5214.0,Transit,13.733,2458202.934,0.078071
Kepler-969,288.372508,47.933556,kepler969c,411.0,1.6829346,,5214.0,Transit,13.733,2458201.251,0.078071
HAT-P-37,284.296064,51.269138,hatp37b,411.0,2.797436,1.169,5500.0,Transit,13.23,2458201.797,0.0971
Kepler-888,295.521206,49.738632,kepler888b,413.0,70.6979061,,5875.0,Transit,13.046,2458202.976,0.276
Kepler-1541,283.787004,48.029564,kepler1541b,414.0,8.40691199,,5282.0,Transit,13.801,2458203.088,0.078271
Kepler-1002,293.079495,43.073715,kepler1002b,425.0,4.33642933,,6144.0,Transit,11.704,2458201.832,0.170963
Kepler-601,282.004612,42.176533,kepler601b,429.0,5.37886844,,5160.0,Transit,14.005,2458203.042,0.113142
Kepler-542,292.215089,38.548588,kepler542b,439.0,13.14497566,,5526.0,Transit,13.435,2458202.075,0.14985
Kepler-1164,287.529634,38.894513,kepler1164b,447.0,3.97599768,,5183.0,Transit,14.11,2458203.083,0.089212
