Tr_midp_date,Egress,Ingress,pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
2018-03-25 15:32:09.599981,2018-03-25 16:05:02.932790,2018-03-25 14:59:16.267172,Kepler-1228,19.770205533333336,46.96629,kepler1228b,547.0,0.57736958,1e+20,5063.0,Transit,14.859,2458203.314,0.045679
2018-03-25 08:17:16.800009,2018-03-25 10:21:57.744023,2018-03-25 06:12:35.855995,Kepler-1563,19.2382392,51.472755,kepler1563b,547.0,3.43276598,1e+20,5765.0,Transit,13.583,2458203.012,0.17317
2018-03-25 12:39:21.600012,2018-03-25 13:26:22.560007,2018-03-25 11:52:20.640016,Kepler-842,19.488572066666666,49.653538,kepler842b,552.0,1.21956827,1e+20,4848.0,Transit,15.127,2458203.194,0.0653
2018-03-25 12:39:21.600012,2018-03-25 13:26:22.560007,2018-03-25 11:52:20.640016,Kepler-842,19.488572066666666,49.653538,kepler842b,552.0,1.21956827,1e+20,4848.0,Transit,15.127,2458203.194,0.0653
2018-03-25 14:33:07.200004,2018-03-25 15:03:05.961601,2018-03-25 14:03:08.438407,Kepler-1604,19.027375533333334,44.412212,kepler1604b,562.0,0.68368426,1e+20,4976.0,Transit,14.915,2458203.273,0.041638
2018-03-25 14:33:07.200004,2018-03-25 15:03:05.961601,2018-03-25 14:03:08.438407,Kepler-1604,19.027375533333334,44.412212,kepler1604b,562.0,0.68368426,1e+20,4976.0,Transit,14.915,2458203.273,0.041638
2018-03-25 14:33:07.200004,2018-03-25 15:03:05.961601,2018-03-25 14:03:08.438407,Kepler-1604,19.027375533333334,44.412212,kepler1604b,562.0,0.68368426,1e+20,4976.0,Transit,14.915,2458203.273,0.041638
2018-03-25 06:19:12.000014,2018-03-25 07:05:28.507224,2018-03-25 05:32:55.492805,Kepler-1200,19.7735634,44.129257,kepler1200b,579.0,1.11854972,1e+20,4612.0,Transit,15.793,2458202.93,0.064271
2018-03-25 06:19:12.000014,2018-03-25 07:05:28.507224,2018-03-25 05:32:55.492805,Kepler-1200,19.7735634,44.129257,kepler1200b,579.0,1.11854972,1e+20,4612.0,Transit,15.793,2458202.93,0.064271
2018-03-25 07:19:40.800006,2018-03-25 08:01:28.127987,2018-03-25 06:37:53.472025,Kepler-653,18.81419533333333,46.717819,kepler653c,593.0,0.90037648,1e+20,5665.0,Transit,13.387,2458202.972,0.05804
2018-03-25 07:19:40.800006,2018-03-25 08:01:28.127987,2018-03-25 06:37:53.472025,Kepler-653,18.81419533333333,46.717819,kepler653c,593.0,0.90037648,1e+20,5665.0,Transit,13.387,2458202.972,0.05804
2018-03-25 07:19:40.800006,2018-03-25 08:01:28.127987,2018-03-25 06:37:53.472025,Kepler-653,18.81419533333333,46.717819,kepler653c,593.0,0.90037648,1e+20,5665.0,Transit,13.387,2458202.972,0.05804
2018-03-25 10:02:23.999997,2018-03-25 11:59:02.399977,2018-03-25 08:05:45.600016,CoRoT-23,18.652174333333335,4.357806,corot23b,600.0,3.6313,2.8,5900.0,Transit,15.63,2458203.085,0.162
2018-03-25 11:51:50.399987,2018-03-25 12:58:46.271988,2018-03-25 10:44:54.527985,Kepler-1240,18.866647666666665,40.55745,kepler1240b,614.0,4.8663815,1e+20,5682.0,Transit,13.987,2458203.161,0.09296
2018-03-25 14:43:11.999982,2018-03-25 15:12:48.427201,2018-03-25 14:13:35.572764,Kepler-828,19.12581833333333,42.471256,kepler828b,625.0,0.56785714,1e+20,5039.0,Transit,15.055,2458203.28,0.041121
2018-03-25 14:43:11.999982,2018-03-25 15:12:48.427201,2018-03-25 14:13:35.572764,Kepler-828,19.12581833333333,42.471256,kepler828b,625.0,0.56785714,1e+20,5039.0,Transit,15.055,2458203.28,0.041121
2018-03-25 07:09:35.999987,2018-03-25 08:15:49.916151,2018-03-25 06:03:22.083823,Kepler-554,19.76045686666667,51.358154,kepler554b,642.0,1.90220856,1e+20,5447.0,Transit,14.313,2458202.965,0.0919888
2018-03-25 12:09:07.199996,2018-03-25 13:45:45.071988,2018-03-25 10:32:29.328004,Kepler-496,19.4427264,41.241049,kepler496b,655.0,8.30864937,1e+20,5293.0,Transit,14.817,2458203.173,0.13421
